handle,product_name,SKU (from Shopify),HSN Code,Packaging Length (cm),Packaging Width (cm),Packaging Height (cm),GST Code (%)
throne-pendant-in-925-silver-by-svadezi,Throne Pendant in 925 Silver by SVADEZI,SCH/15194,,,,,
14,Butterfly Motif Pearl Drop earrings in 925 Silver by SVADEZI,STPS/18536,,,,,
butterfly-netted-pendant-in-925-silver-by-svadezi,Butterfly Netted Pendant in 925 Silver by SVADEZI,SCH/16119,,,,,
solitaire-ring-motif-chain-pendant-in-925-silver-by-svadezi,Solitaire ring motif chain pendant in 925 Silver by SVADEZI,SCH/14464,,,,,
briolette-solitaire-pendant-in-925-silver-by-svadezi,Briolette Solitaire pendant in 925 Silver by SVADEZI,SCH/17798,,,,,
midnight-heart-adjustable-ring-in-925-silver-by-svadezi,Midnight Heart Adjustable Ring in 925 Silver by SVADEZI,SLR92/26341,,,,,
bow-earrings-in-925-silver-by-svadezi,Bow Earrings in 925 Silver by SVADEZI,STPS/16951,,,,,
fresh-water-pearl-celestial-earrings-in-925-silver-by-svadezi,Fresh Water Pearl Celestial Earrings in 925 Silver by SVADEZI,STPS/20545,,,,,
elegant-bali-earrings-in-925-silver-by-svadezi,Elegant Bali Earrings in 925 Silver by SVADEZI,STPS/18089,,,,,
ruby-red-flower-earrings-in-925-silver-by-svadezi,Ruby Red Flower Earrings in 925 Silver by SVADEZI,STPS/20994,,,,,
dazziling-flower-2in1-earrings-in-925-silver-by-svadezi,Dazziling Flower 2in1 Earrings in 925 Silver by SVADEZI,STPS/20835,,,,,
stunning-aquamarine-bird-pendant-in-925-silver-by-svadezi,Stunning Aquamarine Bird Pendant in 925 Silver by SVADEZI,SCH/18608,,,,,
bali-earrings-in-925-silver-by-svadezi,Bali Earrings in 925 Silver by SVADEZI,STPS/18354,,,,,
timeless-solitaire-pendant-in-925-silver-by-svadezi,Timeless Solitaire Pendant in 925 Silver by SVADEZI,SCH/18896,,,,,
rose-quartz-fresh-water-pearl-bracelet-in-925-silver-by-svadezi,Rose Quartz Fresh Water Pearl Bracelet in 925 Silver by SVADEZI,SBRL/13751,,,,,
fresh-water-pearl-earrings-in-925-silver-by-svadezi-2,Fresh Water Pearl Earrings in 925 Silver by SVADEZI,STPS/21157,,,,,
rose-gold-classic-earrings-in-925-silver-by-svadezi,Rose Gold Classic Earrings in 925 Silver by SVADEZI,STPS/21303,,,,,
